name,scenario1-f1,scenario1-precision,scenario1-recall
talp,0.639412997903564,0.6505972696245734,0.6286067600989282
ncatala,0.6218164344065353,0.7453917050691244,0.5333882934872217
abravo,0.5815748841996912,0.773972602739726,0.46578730420445175
lsi_uned,0.5473330129745314,0.6561059907834101,0.46949711459192084
hulat-taskAB,0.5412647374062165,0.7733537519142419,0.416323165704864
uhmajakd,0.5189309576837416,0.564437984496124,0.4802143446001649
lsi2_uned,0.4934065934065935,0.7397034596375618,0.37015663643858204
iakesg,0.48693333333333333,0.6895770392749244,0.3763396537510305
_baseline,0.43091787439613516,0.5204200700116686,0.3676834295136026
jlcuad,0.43091787439613516,0.5204200700116686,0.3676834295136026
vsp,0.42894507410636445,0.4551341350601295,0.40560593569661996

name,scenario2-f1,scenario2-precision,scenario2-recall
talp,0.8202589489718203,0.8073463268365817,0.8335913312693498
abravo,0.8166666666666667,0.7997032640949555,0.8343653250773994
uhmajakd,0.8156297420333839,0.7998511904761905,0.8320433436532507
jlcuad,0.7903469079939669,0.7705882352941177,0.8111455108359134
ncatala,0.7872841444270017,0.7985668789808917,0.7763157894736842
hulat-taskAB,0.7757847533632287,0.75,0.8034055727554179
lsi_uned,0.7543281121187139,0.8068783068783069,0.708204334365325
lsi2_uned,0.7314662273476112,0.7816901408450704,0.6873065015479877
iakesg,0.6825278810408922,0.6566523605150214,0.7105263157894737
_baseline,0.5466377440347071,0.5128900949796472,0.5851393188854489
vsp,0.5466377440347071,0.5128900949796472,0.5851393188854489

name,scenario3-f1,scenario3-precision,scenario3-recall
talp,0.6268656716417911,0.6666666666666666,0.5915492957746479
lsi_uned,0.5337361530715005,0.6235294117647059,0.4665492957746479
vsp,0.49334698055271237,0.589242053789731,0.4242957746478873
ncatala,0.49308755760368655,0.7133333333333334,0.3767605633802817
iakesg,0.43558282208588955,0.5195121951219512,0.375
uhmajakd,0.43356643356643354,0.4305555555555556,0.43661971830985913
abravo,0.22975301550832858,0.17050298380221654,0.352112676056338
_baseline,0.12307692307692308,0.4878048780487805,0.07042253521126761
hulat-taskAB,0.12307692307692308,0.4878048780487805,0.07042253521126761
jlcuad,0.12307692307692308,0.4878048780487805,0.07042253521126761
lsi2_uned,0.12307692307692308,0.4878048780487805,0.07042253521126761

